ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
2044,Tillab‚ri,20,0,,,TRUE
2047,Kantchari,20,0,,,TRUE
2049,An‚ho,320,0,,,TRUE
2050,Tissemsilt,20,0,,,TRUE
2052,Djougou,40,0,,,TRUE
2053,Makalondi,20,0,FALSE,,
2055,Ain Defla,40,0,,,TRUE
2056,Lokossa,20,0,,,TRUE
2058,Ti‚l‚l,20,0,,,
2059,Sirimbana,20,0,,,TRUE
2060,Aflou,20,0,,,TRUE
2062,Khemis Miliana,20,0,,,TRUE
2063,Savalou,20,0,,,TRUE
2064,Bohicon,80,0,,,TRUE
2067,Niamey,20,0,,,TRUE
2068,Ksar Chellala,20,0,,,TRUE
2070,Whydah,20,0,,,TRUE
2073,Tindji,80,0,,,TRUE
2074,Allada,20,0,,,TRUE
2077,Dassa-Zoum‚,40,0,,,TRUE
2078,Cotonou,20,0,,,TRUE
2081,Kollo,20,0,,,TRUE
2084,Kolea ???????,80,0,,,TRUE
2085,Say,20,0,,,TRUE
2088,Medea,20,0,,,TRUE
2089,Blida,40,0,,,TRUE
2090,Banikoara,20,0,,,TRUE
2091,OuŠssŠ,20,0,,,TRUE
2092,Ksar El Boukhari,20,0,,,TRUE
2095,Algiers,20,0,,,TRUE
2096,Boufarik,20,0,,,TRUE
2097,Laghouat,20,0,,,TRUE
2098,Berrouaghia,40,0,,,TRUE
2099,Ain Oussara,20,0,,,TRUE
2100,Parakou,40,0,,,TRUE
2101,Porto-Novo,40,0,,,TRUE
2102,K‚tou,20,0,,,TRUE
2103,,40,0,,,TRUE
2105,El Menia,80,0,,,TRUE
2107,PobŠ,20,0,,,TRUE
2108,Hassi Bahbah,20,0,,,TRUE
2109,Bougara,20,0,,,TRUE
2110,Idiroko,160,0,,,TRUE
2111,Larbaa,20,0,,,TRUE
2113,Meftah,20,0,,,TRUE
2114,Meko,20,0,,,TRUE
2115,Birni N'Gaour‚,20,0,,,TRUE
2116,Djelfa,20,0,,,TRUE
2117,Khemis El Khechna,40,0,,,TRUE
2118,Badagry,640,0,,,TRUE
2120,Bal‚yara,20,0,,,TRUE
2121,Kandi,20,0,,,TRUE
2122,Owode,40,0,,,TRUE
